STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
725053,94728, 20130203,   26.5,24,   18.0,24, 1013.2,19, 1008.7,24,   7.6,24,   2.6,22,   7.0, 999.9,   30.0 ,  24.1 , 0.03G,999.9, 001000,
725053,94728, 20130204,   26.8,24,   10.5,24, 1012.0,24, 1007.0,24,   9.8,24,   6.2,21,  12.0,  28.0,   30.0 ,  23.0 , 0.02G,999.9, 000000,
725053,94728, 20130205,   29.1,24,   20.3,24, 1013.8,23, 1008.8,24,   6.5,24,   4.7,24,   8.9,  15.0,   30.0 ,  28.0 , 0.01G,999.9, 001000,
725053,94728, 20130206,   33.3,24,   23.1,24, 1017.5,20, 1011.8,24,   6.5,24,   3.6,22,   7.0,  20.0,   39.0 ,  30.0 , 0.01G,999.9, 001000,
725053,94728, 20130207,   29.3,24,    6.2,24, 1029.8,24, 1024.7,24,  10.0,24,   5.0,24,   8.9,  17.1,   35.1 ,  26.1 , 0.00G,999.9, 000000,
725053,94728, 20130208,   32.3,24,   26.2,24, 1022.6,14, 1013.3,24,   5.8,24,  10.2,24,  19.0,  31.1,   34.0 ,  30.0 , 0.01G,999.9, 111000,
725053,94728, 20130209,   28.8,24,   21.0,24, 1013.9,15, 1006.3,24,   3.4,24,   8.0,24,  14.0,  25.1,   32.0 ,  25.0 , 1.52G,999.9, 101000,
725053,94728, 20130210,   25.2,24,    8.5,24, 1028.7,24, 1023.6,24,  10.0,24,   3.4,24,   8.9,  15.9,   36.0 ,  18.0 , 0.38G,999.9, 000000,
725053,94728, 20130211,   38.5,24,   32.4,24, 1019.6,18, 1013.1,24,   5.6,24,   3.2,20,   7.0, 999.9,   45.0*,  32.0*, 0.09G,  9.8, 110000,
725053,94728, 20130212,   41.9,24,   28.8,24, 1009.8,21, 1004.3,24,   8.8,24,   7.2,22,  14.0,  22.0,   45.0 ,  39.9 , 0.40G,  9.1, 000000,
725053,94728, 20130213,   38.2,24,   22.5,24, 1011.2,24, 1006.3,24,   9.9,24,   3.0,24,   7.0,  15.0,   44.1 ,  33.1 , 0.00G,  3.9, 000000,
725053,94728, 20130214,   38.2,24,   26.7,24, 1011.6,19, 1005.7,24,   8.9,24,   3.8,24,   8.9, 999.9,   46.0 ,  33.1 , 0.03G,999.9, 001000,
725053,94728, 20130215,   43.0,24,   30.7,24, 1015.0,24, 1010.1,24,   7.8,24,   4.9,24,   9.9,  15.9,   55.0 ,  37.0 , 0.00G,999.9, 000000,
725053,94728, 20130216,   37.9,24,   28.0,24, 1012.8,21, 1008.0,24,   9.6,24,   5.6,24,  11.1,  19.0,   46.9*,  33.8*, 0.02G,999.9, 011000,
725053,94728, 20130217,   29.0,24,    6.6,24, 1006.6,24, 1001.6,24,  10.0,24,   9.6,22,  17.1,  35.0,   35.1 ,  24.1 , 0.00I,999.9, 000000,
725053,94728, 20130218,   23.4,24,    2.0,24, 1019.7,24, 1014.7,24,  10.0,24,   8.2,23,  18.1,  28.9,   35.1 ,  17.1 , 0.00G,999.9, 000000,
725053,94728, 20130219,   39.2,24,   22.4,24, 1017.1,22, 1011.4,24,   9.3,24,   5.8,24,  11.1,  21.0,   48.9 ,  32.0 , 0.00G,999.9, 010000,
725053,94728, 20130220,   33.8,24,   16.8,24, 1009.1,22, 1003.8,24,  10.0,24,   9.9,24,  14.0,  28.9,   45.0 ,  28.9 , 0.15G,999.9, 000000,
725053,94728, 20130221,   28.0,24,    9.8,24, 1015.9,24, 1010.9,24,  10.0,24,   9.2,21,  15.0,  26.0,   34.0 ,  24.1 , 0.00G,999.9, 000000,
725053,94728, 20130222,   30.0,24,   17.2,24, 1026.7,23, 1021.6,24,  10.0,24,   6.4,22,   9.9,  21.0,   37.9 ,  25.0 , 0.00G,999.9, 000000,
725053,94728, 20130223,   38.0,24,   34.3,24, 1020.7,18, 1015.3,24,   5.3,24,   6.3,23,  14.0,  22.0,   42.1 ,  36.0 , 0.00G,999.9, 010000,
725053,94728, 20130224,   39.3,24,   32.4,24, 1009.3,18, 1004.1,24,   8.1,24,   7.1,22,  13.0,  24.1,   46.9 ,  36.0 , 0.27G,999.9, 010000,
725053,94728, 20130225,   37.5,24,   22.7,24, 1018.1,24, 1013.2,24,  10.0,24,   5.0,23,   9.9,  22.9,   45.0 ,  32.0 , 0.01G,999.9, 000000,
725053,94728, 20130226,   39.9,24,   28.7,24, 1023.4,24, 1018.4,24,   9.4,24,   5.0,24,   9.9,  15.9,   44.1 ,  35.1 , 0.00G,999.9, 000000,
725053,94728, 20130227,   40.2,24,   36.8,24, 1009.0,12, 1000.8,24,   4.2,24,  10.7,24,  17.1,  32.1,   46.9*,  35.6*, 1.26G,999.9, 010000,
725053,94728, 20130228,   45.2,24,   32.9,24, 1002.1,23,  997.3,24,   9.8,24,   3.9,23,   8.0,  15.0,   51.1 ,  43.0 , 0.44G,999.9, 010000,
725053,94728, 20130301,   40.0,24,   27.4,24, 1004.1,24,  999.3,24,  10.0,24,   4.9,23,   9.9,  15.9,   45.0 ,  36.0 , 0.00G,999.9, 000000,
725053,94728, 20130302,   36.7,24,   22.8,24, 1007.3,24, 1002.4,24,  10.0,24,   5.9,23,   9.9,  15.9,   39.9 ,  34.0 , 0.00G,999.9, 000000,
725053,94728, 20130303,   32.6,24,   18.7,24, 1006.2,23, 1001.3,24,   9.0,24,   6.6,24,   9.9,  17.1,   39.9 ,  28.9 , 0.00G,999.9, 001000,
725053,94728, 20130304,   32.8,24,   16.4,24, 1008.3,24, 1003.3,24,  10.0,24,   8.6,24,  14.0,  22.9,   42.1 ,  27.0 , 0.00G,999.9, 000000,
725053,94728, 20130305,   37.9,24,   20.6,24, 1014.2,24, 1009.2,24,  10.0,24,   7.2,22,  13.0,  24.1,   48.9 ,  30.9 , 0.00G,999.9, 000000,
725053,94728, 20130306,   40.1,24,   29.3,24, 1013.1,20, 1008.1,24,  10.0,24,  10.9,24,  20.0,  40.0,   44.1 ,  37.9 , 0.00G,999.9, 000000,
725053,94728, 20130307,   36.7,24,   28.2,24, 1014.9,19, 1010.3,24,   8.0,24,  10.6,23,  21.0,  31.1,   41.0 ,  34.0 , 0.00G,999.9, 011000,
725053,94728, 20130308,   34.0,24,   30.2,24, 1017.5,15, 1012.3,24,   3.6,24,   6.6,23,  13.0,  22.9,   41.0 ,  30.9 , 0.33G,999.9, 101000,
725053,94728, 20130309,   43.7,24,   22.1,24, 1023.2,24, 1018.2,24,  10.0,24,   5.9,24,   8.9,  18.1,   55.0 ,  35.1 , 0.40G,  2.0, 000000,
725053,94728, 20130310,   41.8,24,   28.6,24, 1027.2,24, 1022.2,24,  10.0,24,   4.1,23,   7.0, 999.9,   51.1 ,  36.0 , 0.00G,  2.0, 000000,
725053,94728, 20130311,   44.7,24,   38.2,24, 1023.9,19, 1018.9,24,   9.5,24,   5.5,22,  11.1,  20.0,   53.1 ,  37.9 , 0.00G,999.9, 000000,
725053,94728, 20130312,   50.3,24,   47.3,24, 1015.2,13, 1008.6,24,   6.9,24,   6.6,22,  14.0,  28.9,   57.0 ,  48.0 , 0.08G,999.9, 010000,
725053,94728, 20130313,   45.0,24,   29.9,24, 1010.4,24, 1005.5,24,  10.0,24,   5.8,23,   8.9,  19.0,   53.1 ,  39.9 , 0.71G,999.9, 000000,
725053,94728, 20130314,   35.6,24,   13.6,24, 1012.1,24, 1007.1,24,  10.0,24,   9.2,24,  15.9,  29.9,   44.1 ,  28.9 , 0.00G,999.9, 000000,
725053,94728, 20130315,   36.1,24,   13.5,24, 1011.9,24, 1006.9,24,  10.0,24,   7.3,22,  11.1,  26.0,   46.9 ,  30.0 , 0.00G,999.9, 000000,
725053,94728, 20130316,   37.3,24,   24.1,24, 1009.4,18, 1004.4,24,   7.8,24,   4.7,24,   9.9,  19.0,   46.9 ,  32.0 , 0.00G,999.9, 101000,
