('', 32)
('00', 136697)
('01', 104917)
('02', 82044)
('03', 68046)
('04', 59379)
('05', 40149)
('06', 38912)
('07', 54684)
('08', 87687)
('09', 97385)
('10', 106456)
('11', 110776)
('12', 152416)
('13', 137994)
('14', 156393)
('15', 176293)
('16', 170640)
('17', 170777)
('18', 176956)
('19', 174169)
('20', 173426)
('21', 156450)
('22', 148742)
('23', 136664)
('24', 490)
